UPC,Item description,Call description,Call type,Verbatim,Ticket ID,Brand Name,MDSE category,Batch Lot,Create date,Expire date,Month,Calendar Year,Site ID,Week,State,Fiscal Year Ending,Store,City
68113138807,SLD ROMAINE 18OZ TF,Sensory Complaint,Complaint,"Customer stated:Marketside Romaine salad is very hard and crunchy, the color starts fading and getting darker on the product before the expiration. He does not have the receipt, but has the packaging.

Purchased this before? Yes
Happened before? No

Advised customer: 100% satisfaction guarantee.
QA would be notified. Advised to return to store.

Apologized for experience. Offered final assistance, survey, and advised always happy to help.",190801-011655,,CSR,,1-Aug-19,3-Aug-19,8,2019,5779,27,,2020,5779,KING GEORGE
68113108575,ORG SLD H&H 16Z TF,Product Condition,Complaint,Customer stated she got the MS Spinach and Spring Mix and the first ingredient is spinach and there was NO spinach at all in it. And the inside was very wet when opened 1st time and it spoiled in just a couple of days. I apologized and advised customer I would forward this to our Quality Assurance team to review. Thanked customer for call and offered final assistance Purchased item before Yes Provided $ 5/Gift Card Requst Successful for Request #: GCR257529),190801-024682,,CSR,TFT2000PS 4:14:24,1-Aug-19,3-Aug-19,8,2019,2065,27,,2020,2065,KNOXVILLE
68113138748,SLD 3CLRSLAW 16OZ TF,Suggestion,Suggestion,"Customer stated: Marketside Coleslaw, Would you be able to put it out in smaller packages?Advised customer QA would be notified.

Offered final assistance, survey, and advised always happy to help.",190801-026204,,CSR,,1-Aug-19,,8,2019,360,27,,2020,360,CUSHING
68113116080,SLD BWL CHF 7.25Z TF,Foreign Objects,Complaint,"Customer stated: purchased MS salad, found a beetle in the bottom of container

Purchased this before? Yes

Happened before? No

Advised customer QA would be notified. Advised to return to storefor refund/exchange under 100% satisfaction guarantee

Apologized for experience. Offered final assistance, survey, and advised always happy to help.
------------Please find the below information regarding Marketside Chef Salad Bowl that a customer recently purchased. Please reply to this email and our team will follow-up with the customer accordingly.

Thank you for your assistance with this matter.

Customer Contact Team",190801-019367,,CSR,TFD206BU20,1-Aug-19,6-Aug-19,8,2019,281,27,,2020,281,HEBER SPGS
68113100704,SLD CHP ASIAN 13Z TF,Foreign Objects,Complaint,"Found a piece of hard black plastic in the salad, almost 2 inches in length and .5 inch wide ------------ Dear Lorna, Thank you for taking the time to contact us and sharing your feedback regarding our Marketside products. Our customer feedback is very important to us. In order to ensure we identify the correct item and have the correct team look into this circumstance, we are requesting some additional information. Please respond with the following (if available): • What is the 6-digit code above or to the side of the barcode? • What is the Batch or Lot Code number? o This can be found on the packaging or container, normally near the expiration date • Customer’s mailing address • Customer’s city, state, and zip Please reply to this email. Once we receive the above requested information, we will then notify our brand team so this matter can be addressed in a timely manner. You may also contact us by visiting www.walmartstores.com and clicking on the contact us link or by phone @ 877-505-2267. For future questions regarding product ingredients, nutritional facts, preparation instructions and more, click the grocery link at www.walmart.com. Sincerely, Private Brand Customer Connections Walmart Stores, Inc ------------ 6 digit code 456344Batch 163823-01Lorna Holdsworth2337 Evening Song dr., little Elm thx 75068

Sent from my iPhone


Image





QUESTION REFERENCE # 190801-038005
SUBJECT
Private Brand-Foreign ObjectsResponse By Email (08/01/2019 02:05 PM)Dear Lorna,

Thank you for taking the time to contact us and sharing your feedback regarding our Marketside products. Our customer feedback is very important to us. In order to ensure we identify the correct item and have the correct team look into this circumstance, we are requesting some additional information.

Please respond with the following (if available):

• What is the 6-digit code above or to the side of the barcode?
• What is the Batch or Lot Code number?
o This can be found on the packaging or container, normally near the expiration date
• Customer’s mailing address
• Customer’s city, state, and zip

Please reply to this email. Once we receive the above requested information, we will then notify our brand team so this matter can be addressed in a timely manner.

You may also contact us by visiting www.walmartstores.com and clicking on the contact us link or b",190801-038005,Marketside,CSR,163823-01,1-Aug-19,2-Aug-19,8,2019,3777,27,,2020,3777,FRISCO
68113138744,SLD CAESAR TF,Product Condition,Complaint,"Customer stated: Marketside Ceasar Salad Kits, the kit had the core of the lettuce in the salad kit.

Purchased this before? No

Advised customer QA would be notified. Advised to return to store. 

Apologized for experience. Offered final assistance, survey, and advised always happy to help.------------ Left message to return call",190801-036466,,CSR,,1-Aug-19,,8,2019,984,27,,2020,984,CASTLE ROCK
68113116093,SLD LG SW 11.75Z TF,Foreign Objects,Complaint,"Marketside Southwest Salad. As he was eating it clear piece of plastic 1 inch long and half inch wide and comes to a point at one end. It stuck him in the tongue when he was eating it. Apologized and advised will send to QA. Customer still has piece.------------Dear Taylor Farms

A complaint was received by our Customer Connections Team claiming that a product that you supply to Walmart Marketside Southwest Salad does not meet their standards for quality. Please retrieve the below product from the customer so this incident can be investigated to ensure the product is within specifications.

If you have any communication with the customer as a result of retrieving this product, please reply back to this email informing us of such communication.

Thank you for your support.

Sincerely,

Corporate Food Safety
Walmart Stores, Inc

------------GCR# 257554",190801-032702,,CSR,tfd204bu21 p-34733 1727,1-Aug-19,4-Aug-19,8,2019,450,27,,2020,450,SHREVEPORT
68113108575,ORG SLD H&H 16Z TF,Foreign Objects,Complaint,"Customer Purchased a: ORG SLD H&H 16Z TFthe customer called about a foreign object in the product and the customer was advised to no longer consume the productPurchased this before? YHappened before? NAdvised customer QA would be notified.Apologized for experience. Offered final assistance, survey, and advised always happy to help.------------[SUPPLIER NAME]

A complaint was received by our Customer Connections Team claiming that a foreign object / contaminant has been found or detected in the following product which you supply to Walmart: TAYLOR FARMS PACIFIC INC

Within one (1) business day, overnight a prepaid package to the customer and arrange for the product and contaminant to be returned to the appropriate person within your company. The prepaid package should be large enough to accommodate the product and contaminant without compromising the integrity of the evidence. The customer’s contact information and details of the incident are provided below. We have also attached a form letter to provide along with the prepaid package. If you cannot reach the customer after multiple attempts, please inform Walmart Food Safety (FoodSafeCom@wal-mart.com), or Walmart Product Safety (PBPS10@email.wal-mart.com) for non-food products, that you were not able to contact the customer.
There may be instances in which the customer refuses to return the object - This is considered out of your control; however, you are still expected to notify us of the issue. If you have questions about the customer's contact information, please reply to this email (customerspark@mailmw.custhelp.com).

Once the object is retrieved, we ask that you investigate per your internal procedures and respond to Walmart Food Safety with the following information:
1. The identification and origin of implicated foreign object / contaminant.
2. An explanation of how this occurred within the process.
3. A description of the corrective actions you have implemented to prevent reoccurrence.
4. Has your company had any similar complaints to indicate this is not an isolated incident?

Additionally, please provide us with copies of any analytical results obtained. We expect to receive a summary of your investigation no later than 14 business days from the date of this email.

**PLEASE NOTE** After your investigation is completed, you must do THREE things:
1. Report to Walmart Food Safety (FoodSafeCom@wal-mart.com), or Walmart Product Safety (PBPS10@email.wal-mart.com) for non-food products, the results of your investigation and the answers to the outline questions above.
2. Contact the consumer and share your results.
3. Reply to this email to confirm resolution.",190801-013964,,CSR,tfrs200a13b 09:39,1-Aug-19,4-Aug-19,8,2019,5247,27,,2020,5247,ROANOKE
68113122132,SLD CHP KLCR TF,Foreign Objects,Complaint,"Customer Stated MS Pecan/Cranberry Chopped Salad Kit Had, Orange Glass, When she bit down she heard a Pop, and her teeth are hurting.Package at Home for Product Information Customer will call back. Not Sent to Food safe and supplier.didn't send gift card .Apologized for experience. Offered final assistance, survey, and advised always happy to help.------------Previous agent addressed the customer's concern.Closing ticket.------------CCB-went to the store and the ASM told the customer that its not teh stores fault it is packaged somewhere else so they are going to have to call the company that makes the salad and ASM provided the number to company.customer doesn't understand why we wont take care of it.i advised customer that if that's what the ASM had said ten that is the best we can do they can give her a new one but if its packaged elsewhere then the company needs to know of it and we can have notes of it but we cant control it from here.customer said she is going to tell her attorney and hung up------------TAYLOR FARMS PACIFIC INC

A complaint was received by our Customer Connections Team claiming that a foreign object / contaminant has been found or detected in the following product which you supply to Walmart: Marketside SLD CHP KLCR TF

Within one (1) business day, overnight a prepaid package to the customer and arrange for the product and contaminant to be returned to the appropriate person within your company. The prepaid package should be large enough to accommodate the product and contaminant without compromising the integrity of the evidence. The customer’s contact information and details of the incident are provided below. We have also attached a form letter to provide along with the prepaid package. If you cannot reach the customer after multiple attempts, please inform Walmart Food Safety (FoodSafeCom@wal-mart.com), or Walmart Product Safety (PBPS10@email.wal-mart.com) for non-food products, that you were not able to contact the customer.
There may be instances in which the customer refuses to return the object - This is considered out of your control; however, you are still expected to notify us of the i",190801-028763,,CSR,TFF11203BJC3A,1-Aug-19,4-Aug-19,8,2019,899,27,,2020,899,VALDOSTA
68113138746,SLD FAMILY CSR HM,Product Condition,Complaint,"Customer Stated: Problems with produce products in store recently. Bought product expiration date 8/8/2019, brown greens before expired.Purchased Before? Yes, issues last two times of purchase.Resolution: Thanked customer for feedback. Advised that QA would be notified. Directed customer to store for refund, pushback, so issued GC.Issued GC$5 , Conf#GCR257596Advised customer always happy to help. Offered final assistance and survey.",190802-012219,,CSR,TFRS204 4807820 02:05,2-Aug-19,8-Aug-19,8,2019,126,27,,2020,126,LITTLE ROCK
